file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00512_0585_4190554_to_4192570,རྒྱུད་བྱས་པ་ག་རེ་རེད་ཟེ། ཨོ་དེ་ཚོར་དྲི་བ་ཞུས་ན།  ,rgyud byas pa ga re red ze/_o de tshor dri ba zhus na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00512_0585_4190554_to_4192570.wav,STT_TT,3,49,2.016,wav16k/STT_TT00512_0585_4190554_to_4192570.wav,རྒྱུད་བྱས་པ་ག་རེ་རེད་ཟེ། ཨོ་དེ་ཚོ་དྲི་བ་ཞུས་ནས།
STT_TT00512_0473_3417342_to_3419806,རྒྱུད་སྡེ་གོ་འོག་གང་ག་གི་རྩ་བ་དེ་གསང་འདུས་རྩ་རྒྱུད་རེད་བསྡད་འདུག་བ།  ,rgyud sde go 'og gang ga gi rtsa ba de gsang 'dus rtsa rgyud red bsdad 'dug ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00512_0473_3417342_to_3419806.wav,STT_TT,3,69,2.464,wav16k/STT_TT00512_0473_3417342_to_3419806.wav,རྒྱུད་སྡེ་གོང་འོག་གང་ག་གི་རྩ་བ་དེ། གསང་འདུས་རྩ་རྒྱུད་རེད་བསྡད་འདུག་ག།
STT_TT00045_00718.150-00720.100,ཡང་ལུང་གཞན་དག་གཅིག་ལ་ཁུངས་བསྟེན་པ་ཡིན་ན།  ,yang lung gzhan dag gcig la khungs bsten pa yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00045_00718.150-00720.100.wav,STT_TT,3,42,1.9500000000000453,wav16k/STT_TT00045_00718.150-00720.100.wav,ཡང་ལུང་གཞན་དག་ཅིག་ལ་ཁུངས་བསྟན་པ་ཡིན་ན།
STT_TT00527_0221_1640535_to_1642711,ཕོ་བ་བཅུ་དྲུག་ཡིན་ཟེ། ཨོ། དེ་ནས་ཕྱོགས་གཉིས་ཀ་ལ།  ,pho ba bcu drug yin ze/_o/_de nas phyogs gnyis ka la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00527_0221_1640535_to_1642711.wav,STT_TT,3,49,2.176,wav16k/STT_TT00527_0221_1640535_to_1642711.wav,འཕོ་བ་བཅུ་དྲུག་ཡིན་ཟེ། ཨོ་དེ་དྲ། ཕྱོགས་གཉིས་ཀ་ལ།
STT_NS_M0226_0498_4602149_to_4605383,ག་འདྲའི་འདྲ་བོ་བྱེད་ན་ཡག་པོ་འདུག་ལབ་ན་ལུས་རྩལ་རྩེད་ཡ་དང་ཨེ་ནས།  ,ga 'dra'i 'dra bo byed na yag po 'dug lab na lus rtsal rtsed ya dang e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0226_0498_4602149_to_4605383.wav,STT_NS,3,64,3.234,wav16k/STT_NS_M0226_0498_4602149_to_4605383.wav,ག་རེ་འདྲ་བོ་བྱས་ན་ཡག་པོ་འདུག་ལབ་ན་ལུས་རྩལ་རྩེ་ཡ་དང་ཨེ་ནས།
STT_TT00043_04504.650-04507.100,ནམ་མཁའ་མ་ཟད་ཀི་བར་ལ། དགེ་བ་འདི་གི་ནུས་པ་དེ།  ,nam mkha' ma zad ki bar la/_dge ba 'di gi nus pa de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00043_04504.650-04507.100.wav,STT_TT,3,45,2.450000000000728,wav16k/STT_TT00043_04504.650-04507.100.wav,ནམ་མཁའ་མ་ཟད་ཀྱི་བར་ལ་དགེ་བ་དེ་གི་ནུས་པ་དེ།
STT_TT00045_01054.950-01056.350,ཨེ་ནས། དེ་ཚོའི་གྲས་ཀིས།  ,e nas/_de tsho'i gras kis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00045_01054.950-01056.350.wav,STT_TT,3,25,1.3999999999998636,wav16k/STT_TT00045_01054.950-01056.350.wav,ཨེ་ནས་དེ་ཚོའི་གྲས་ཀི་
STT_TT00669_0288_2515219_to_2517395,ཨེ། ཐེག་པ་ཆེ་ཆུང་སྔགས་དང་བཅས་པའི་ནང་ལ།  ,e/_theg pa che chung sngags dang bcas pa'i nang la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00669_0288_2515219_to_2517395.wav,STT_TT,3,40,2.176,wav16k/STT_TT00669_0288_2515219_to_2517395.wav,ཨ། ཐེག་པ་ཆེ་ཆུང་སྔགས་དང་བཅས་པའི་ནང་ལ།
STT_TT00664_0332_2423794_to_2425906,ད་ལྟ་ང་ཚོ། མི་ལུས་ཐོབ་བྱེད་ཀི་རྒྱུ།  ,da lta nga tsho/_mi lus thob byed ki rgyu/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00664_0332_2423794_to_2425906.wav,STT_TT,3,37,2.112,wav16k/STT_TT00664_0332_2423794_to_2425906.wav,ད་ལྟ་ང་ཚོ་མི་ལུས་ཐོབ་བྱེད་ཀི་རྒྱུ།
STT_TT00035_10670.800-10672.850,སྟོང་པ་ཉིད་ཀྱི་ཕྱོགས་ལ། མོས་པ་འདི་ལ་བརྟེན་པ་ཡིན།  ,stong pa nyid kyi phyogs la/_mos pa 'di la brten pa yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00035_10670.800-10672.850.wav,STT_TT,3,50,2.0500000000010914,wav16k/STT_TT00035_10670.800-10672.850.wav,སྟོང་པ་ཉིད་ཀྱི་ཕྱོགས་ལ་མོས་པ་འདི་ལ་བརྟེན་པ་ཡིན།
